Nombre,Telefono,Nicho,Motivo de Falla,Link Maps
"Salon Herrera","529993283840","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Salon%20Herrera%20M%C3%A9rida%20Yucat%C3%A1n"
"Matissé By Erick Rodríguez","529991413725","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Matiss%C3%A9%20By%20Erick%20Rodr%C3%ADguez%20M%C3%A9rida%20Yucat%C3%A1n"
"ESTÉTICA UNISEX HoLa","529999533401","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=EST%C3%89TICA%20UNISEX%20HoLa%20M%C3%A9rida%20Yucat%C3%A1n"
"STUDIO DISEÑO DE IMAGEN","529999535165","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=STUDIO%20DISE%C3%91O%20DE%20IMAGEN%20M%C3%A9rida%20Yucat%C3%A1n"
"Chary Salón de Belleza","529999196170","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Chary%20Sal%C3%B3n%20de%20Belleza%20M%C3%A9rida%20Yucat%C3%A1n"
"Gema Beauty Studio","529992967358","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Gema%20Beauty%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Gemakeup and Beauty","529831102937","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Gemakeup%20and%20Beauty%20M%C3%A9rida%20Yucat%C3%A1n"
"Xoxo beauty salon","529993579407","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Xoxo%20beauty%20salon%20M%C3%A9rida%20Yucat%C3%A1n"
"Lomeli Salón Studio","529995430126","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Lomeli%20Sal%C3%B3n%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Luz Vásquez salón","529992334415","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Luz%20V%C3%A1squez%20sal%C3%B3n%20M%C3%A9rida%20Yucat%C3%A1n"
"Viridiana Galicia Beauty Studio","529995103082","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Viridiana%20Galicia%20Beauty%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"La Pelu d'Heoni","529995013060","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=La%20Pelu%20d'Heoni%20M%C3%A9rida%20Yucat%C3%A1n"
"Studio 54","529991298283","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Studio%2054%20M%C3%A9rida%20Yucat%C3%A1n"
"Cuatro Cuatro Salón","529995708894","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Cuatro%20Cuatro%20Sal%C3%B3n%20M%C3%A9rida%20Yucat%C3%A1n"
"Salón360ºClauGam","529993671277","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n360%C2%BAClauGam%20M%C3%A9rida%20Yucat%C3%A1n"
"Hojalateria y Pintura Automotriz LUGO","529999844525","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Hojalateria%20y%20Pintura%20Automotriz%20LUGO%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller Los 5 hermanos","529992577718","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20Los%205%20hermanos%20M%C3%A9rida%20Yucat%C3%A1n"
"M.R. AUTOMOTRIZ. Hojalatería y Pintura","529993105330","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=M.R.%20AUTOMOTRIZ.%20Hojalater%C3%ADa%20y%20Pintura%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller automotriz Hojalateria y Pintura EL CENTENARIO","529999246285","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20automotriz%20Hojalateria%20y%20Pintura%20EL%20CENTENARIO%20M%C3%A9rida%20Yucat%C3%A1n"
"TALLER DE HOJALATERÍA Y PINTURA SANGUINETTI","529991154668","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=TALLER%20DE%20HOJALATER%C3%8DA%20Y%20PINTURA%20SANGUINETTI%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de hojalatería y Pintura (Yucalpetén)","529994483737","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20de%20hojalater%C3%ADa%20y%20Pintura%20(Yucalpet%C3%A9n)%20M%C3%A9rida%20Yucat%C3%A1n"
"TALLER HOJALATERIA Y PINTURA la milagrosa","529999470965","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=TALLER%20HOJALATERIA%20Y%20PINTURA%20la%20milagrosa%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de Hojalatería y Pintura automotriz Cabrera","529994938625","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20de%20Hojalater%C3%ADa%20y%20Pintura%20automotriz%20Cabrera%20M%C3%A9rida%20Yucat%C3%A1n"
"TALLER DE MECÁNICA Y ELECTRÓNICA POOT","529992464991","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=TALLER%20DE%20MEC%C3%81NICA%20Y%20ELECTR%C3%93NICA%20POOT%20M%C3%A9rida%20Yucat%C3%A1n"
"Mecánico Eléctrico Automotriz 24/7","529992560206","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nico%20El%C3%A9ctrico%20Automotriz%2024%2F7%20M%C3%A9rida%20Yucat%C3%A1n"
"HOJALATERÍA Y PINTURA PENICHES","529992598215","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=HOJALATER%C3%8DA%20Y%20PINTURA%20PENICHES%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de hojalatería el jaguar","529999914148","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20de%20hojalater%C3%ADa%20el%20jaguar%20M%C3%A9rida%20Yucat%C3%A1n"
"Talleres Memo","529999202008","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Talleres%20Memo%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller mecánico El Tigre","529992384024","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20mec%C3%A1nico%20El%20Tigre%20M%C3%A9rida%20Yucat%C3%A1n"
"Servicio Mecánico Automotriz May","529992614325","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Servicio%20Mec%C3%A1nico%20Automotriz%20May%20M%C3%A9rida%20Yucat%C3%A1n"
"Alabama (Reparación Automotriz)","529992466666","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Alabama%20(Reparaci%C3%B3n%20Automotriz)%20M%C3%A9rida%20Yucat%C3%A1n"
"Estética Automotriz Lopez Mateos","529999001234","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Est%C3%A9tica%20Automotriz%20Lopez%20Mateos%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de Hojalatería El Maestro","529991112121","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20de%20Hojalater%C3%ADa%20El%20Maestro%20M%C3%A9rida%20Yucat%C3%A1n"
"Mecánica Automotriz Rodríguez","529993345566","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nica%20Automotriz%20Rodr%C3%ADguez%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller La Victoria (Oriente)","529999887766","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20La%20Victoria%20(Oriente)%20M%C3%A9rida%20Yucat%C3%A1n"
"Mecánico Integral Don Chuy","529992211133","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nico%20Integral%20Don%20Chuy%20M%C3%A9rida%20Yucat%C3%A1n"
"Hojalatería y Pintura El Rayo","529995543322","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Hojalater%C3%ADa%20y%20Pintura%20El%20Rayo%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller Especializado El Samurái","529997788899","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20Especializado%20El%20Samur%C3%A1i%20M%C3%A9rida%20Yucat%C3%A1n"
"Electromecánica Mérida","529991123344","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Electromec%C3%A1nica%20M%C3%A9rida%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller El Primo","529990012233","Taller","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Taller%20El%20Primo%20M%C3%A9rida%20Yucat%C3%A1n"
"CrossFit Cupra","529991937545","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=CrossFit%20Cupra%20M%C3%A9rida%20Yucat%C3%A1n"
"Fitness Force","529994341338","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Fitness%20Force%20M%C3%A9rida%20Yucat%C3%A1n"
"Cerberus Capital Fitness","529993304881","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Cerberus%20Capital%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"The Mayan Box","529997477321","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=The%20Mayan%20Box%20M%C3%A9rida%20Yucat%C3%A1n"
"Fit factory mid","529997804883","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Fit%20factory%20mid%20M%C3%A9rida%20Yucat%C3%A1n"
"FIT BROS","529992790005","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=FIT%20BROS%20M%C3%A9rida%20Yucat%C3%A1n"
